Wall time,Step,Value
1556381922.5435698,2201663,14.930000305175781
1556381936.2194617,2202565,15.050000190734863
1556382037.4867117,2209250,15.1899995803833
1556382063.5038402,2210967,15.755000114440918
1556382069.0946286,2211334,16.020000457763672
1556382237.3433688,2222555,16.100000381469727
1556382257.3908775,2223923,16.225000381469727
1556382316.0337946,2227900,16.125
1556382337.6357675,2229368,16.334999084472656
1556382603.5804813,2247324,16.170000076293945
1556382689.2690687,2253177,16.6299991607666
1556382731.4927695,2256009,16.549999237060547
1556382918.7951777,2268754,14.664999961853027
1556383011.4390476,2275003,14.385000228881836
1556383021.1455066,2275664,14.470000267028809
1556383022.9369657,2275785,14.444999694824219
1556383285.5682168,2292609,15.039999961853027
1556384010.7659924,2337182,16.235000610351562
1556384236.4230804,2351079,16.459999084472656
1556384329.7836468,2356864,16.065000534057617
1556384476.5211189,2365890,16.5
1556384516.0562513,2368338,16.934999465942383
1556384591.2304733,2372957,16.229999542236328
1556384664.9166794,2377552,15.53499984741211
1556384793.3267534,2385834,15.024999618530273
1556385044.4971929,2400883,14.824999809265137
1556385155.0478077,2407413,15.635000228881836
1556385225.3853197,2411546,15.954999923706055
1556385587.3471608,2432964,15.710000038146973
1556386129.674005,2464915,15.444999694824219
1556386510.904302,2490175,13.824999809265137
1556386529.471373,2491411,13.630000114440918
1556386686.1461675,2501913,14.404999732971191
1556386825.291125,2511275,15.119999885559082
1556387237.228065,2538897,16.079999923706055
1556387348.2363045,2546323,15.899999618530273
1556387369.2579896,2547739,16.434999465942383
1556387434.5920992,2552134,16.364999771118164
1556387611.4903312,2564019,16.360000610351562
1556387878.7094822,2581900,15.789999961853027
1556387889.6858606,2582637,15.75
1556387962.3006775,2587517,16.260000228881836
1556388359.454987,2614183,14.6850004196167
1556388570.4399495,2628305,15.289999961853027
1556388997.9205778,2656955,16.450000762939453
1556389496.1576476,2690353,14.9350004196167
1556389623.4975257,2698823,15.930000305175781
1556389872.7995849,2715481,15.489999771118164
1556390082.5003603,2729469,16.655000686645508
1556390396.6962562,2750501,16.06999969482422
1556390477.8992167,2755904,15.789999961853027
1556390658.5277648,2767934,17.225000381469727
1556390739.4362159,2773328,17.364999771118164
1556390988.122253,2789982,17.235000610351562
1556391058.8638263,2794715,16.264999389648438
1556391172.6415534,2802329,16.200000762939453
